id,word,url,scrape_time,status,error
1,bẹ́ẹ̀ ni,,2025-04-21 22:59:16,error,Invalid result format
2,Burundi,,2025-04-21 22:59:19,error,Invalid result format
3,bíbélì mímọ́,,2025-04-21 22:59:22,error,Invalid result format
4,bissau,,2025-04-21 22:59:25,error,Invalid result format
5,búburú,,2025-04-21 22:59:28,error,Invalid result format
6,Brasil,,2025-04-21 22:59:31,error,Invalid result format
7,burúkú,,2025-04-21 22:59:34,error,Invalid result format
8,bọ́tìnnì ìgbéjáde,,2025-04-21 22:59:36,error,Invalid result format
9,bòlífíà,,2025-04-21 22:59:40,error,Invalid result format
10,billfold,,2025-04-21 22:59:42,error,Invalid result format
11,bàtà eré,,2025-04-21 22:59:44,error,Invalid result format
12,bọ́tínnì apàṣẹ,,2025-04-21 22:59:47,error,Invalid result format
13,búlẹ́ẹ̀tì,,2025-04-21 22:59:50,error,Invalid result format
14,Bọ̀ Ná,,2025-04-21 22:59:53,error,Invalid result format
15,bremen,,2025-04-21 22:59:55,error,Invalid result format
16,bọ́tìnnì àtẹ̀pọ̀,,2025-04-21 22:59:57,error,Invalid result format
17,bẹ́ljíọ̀m,,2025-04-21 23:00:02,error,Invalid result format
18,Bi Bo̩]],,2025-04-21 23:00:06,error,Invalid result format
19,brazzaville,,2025-04-21 23:00:08,error,Invalid result format
20,Bàdágìrì,,2025-04-21 23:00:11,error,Invalid result format
21,Bavaria,,2025-04-21 23:00:13,error,Invalid result format
22,Beijing,,2025-04-21 23:00:15,error,Invalid result format
23,bhùtán,,2025-04-21 23:00:17,error,Invalid result format
24,Biafra,,2025-04-21 23:00:19,error,Invalid result format
25,bọ́tìnnì atọ́ka apá ọ̀tún,,2025-04-21 23:00:21,error,Invalid result format
26,bá-wí,,2025-04-21 23:00:23,error,Invalid result format
27,Búlọ́ọ̀gì,,2025-04-21 23:00:25,error,Invalid result format
28,beijing,,2025-04-21 23:00:27,error,Invalid result format
29,bólshéfìk,,2025-04-21 23:00:29,error,Invalid result format
30,béèrèfagbára béèrè,,2025-04-21 23:00:31,error,Invalid result format
31,bàbáńlá,,2025-04-21 23:00:33,error,Invalid result format
32,bẹ́ẹ̀ náà ni,,2025-04-21 23:00:35,error,Invalid result format
33,báramu,,2025-04-21 23:00:37,error,Invalid result format
34,bà,,2025-04-21 23:00:40,error,Invalid result format
35,bi lérè,,2025-04-21 23:00:42,error,Invalid result format
36,Boliviano,,2025-04-21 23:00:43,error,Invalid result format
37,bùlgáríà,,2025-04-21 23:00:45,error,Invalid result format
38,bàbá ìyá,,2025-04-21 23:00:47,error,Invalid result format
39,bàlúù,,2025-04-21 23:00:50,error,Invalid result format
40,bí,,2025-04-21 23:00:53,error,Invalid result format
41,b,,2025-04-21 23:00:58,error,Invalid result format
42,Bohriomu,,2025-04-21 23:01:00,error,Invalid result format
43,Barium,,2025-04-21 23:01:03,error,Invalid result format
44,bẹ̀rmúdà,,2025-04-21 23:01:08,error,Invalid result format
45,bọ́tínnì,,2025-04-21 23:01:11,error,Invalid result format
46,bẹ̀ wò,,2025-04-21 23:01:13,error,Invalid result format
47,bloemfontein,,2025-04-21 23:01:15,error,Invalid result format
48,Baku,,2025-04-21 23:01:19,error,Invalid result format
49,bàbà,,2025-04-21 23:01:24,error,Invalid result format
50,bíìtì,,2025-04-21 23:01:28,error,Invalid result format
51,bùléni,,2025-04-21 23:01:30,error,Invalid result format
52,bàbàowó kobóàkàngbà,,2025-04-21 23:01:34,error,Invalid result format
53,bòtswánà,,2025-04-21 23:01:39,error,Invalid result format
54,bàǹtẹ́,,2025-04-21 23:01:42,error,Invalid result format
55,baktéríà,,2025-04-21 23:01:45,error,Invalid result format
56,Bíbélì Mimọ,,2025-04-21 23:01:47,error,Invalid result format
57,baba-ńlá,,2025-04-21 23:01:51,error,Invalid result format
58,bùrúndì,,2025-04-21 23:01:52,error,Invalid result format
59,búùtù láti ilẹ̀,,2025-04-21 23:01:55,error,Invalid result format
