id,word,url,scrape_time,status,error
1,dodoma,,2025-04-21 23:07:54,error,Invalid result format
2,Desire,,2025-04-21 23:07:56,error,Invalid result format
3,díjítà,,2025-04-21 23:07:58,error,Invalid result format
4,dídùn,,2025-04-21 23:08:00,error,Invalid result format
5,dín,,2025-04-21 23:08:04,error,Invalid result format
6,Dundun,,2025-04-21 23:08:06,error,Invalid result format
7,dínkù,,2025-04-21 23:08:08,error,Invalid result format
8,dáríjì,,2025-04-21 23:08:10,error,Invalid result format
9,Déètì ìbẹ̀rẹ̀,,2025-04-21 23:08:12,error,Invalid result format
10,Denzel Washington,,2025-04-21 23:08:15,error,Invalid result format
11,dó,,2025-04-21 23:08:18,error,Invalid result format
12,dá,,2025-04-21 23:08:21,error,Invalid result format
13,déètì ibi-abáṣẹ́dé,,2025-04-21 23:08:23,error,Invalid result format
14,díngí,,2025-04-21 23:08:25,error,Invalid result format
15,detroit,,2025-04-21 23:08:27,error,Invalid result format
16,dè nà dègbà ní tipá,,2025-04-21 23:08:29,error,Invalid result format
17,Díámọ̀ndì,,2025-04-21 23:08:32,error,Invalid result format
18,download,,2025-04-21 23:08:34,error,Invalid result format
19,détà adúrógbọn-in,,2025-04-21 23:08:35,error,Invalid result format
20,Dàmáàskì,,2025-04-21 23:08:37,error,Invalid result format
21,deng xiaoping,,2025-04-21 23:08:40,error,Invalid result format
22,dúkìá,,2025-04-21 23:08:43,error,Invalid result format
23,domitian,,2025-04-21 23:08:45,error,Invalid result format
24,Darmstadtium,,2025-04-21 23:08:47,error,Invalid result format
25,dáná,,2025-04-21 23:08:51,error,Invalid result format
26,dolomite,,2025-04-21 23:08:53,error,Invalid result format
27,dídarí akọrin,,2025-04-21 23:08:55,error,Invalid result format
28,dysprosium,,2025-04-21 23:08:57,error,Invalid result format
29,di,,2025-04-21 23:08:59,error,Invalid result format
30,De facto,,2025-04-21 23:09:01,error,Invalid result format
31,dáńfó,,2025-04-21 23:09:03,error,Invalid result format
32,December,,2025-04-21 23:09:05,error,Invalid result format
33,déètì ótógẹ́ẹ́,,2025-04-21 23:09:07,error,Invalid result format
34,dídára,,2025-04-21 23:09:09,error,Invalid result format
35,dígíìwògbéàwòjìji,,2025-04-21 23:09:11,error,Invalid result format
36,dòdò,,2025-04-21 23:09:13,error,Invalid result format
37,dùndú,,2025-04-21 23:09:15,error,Invalid result format
38,dọ́là,,2025-04-21 23:09:18,error,Invalid result format
39,déédéé,,2025-04-21 23:09:20,error,Invalid result format
40,dídán,,2025-04-21 23:09:23,error,Invalid result format
41,dán-wò,,2025-04-21 23:09:25,error,Invalid result format
42,dájúdájú,,2025-04-21 23:09:27,error,Invalid result format
43,dígí,,2025-04-21 23:09:29,error,Invalid result format
44,díjíítì abéjì,,2025-04-21 23:09:31,error,Invalid result format
45,dè,,2025-04-21 23:09:33,error,Invalid result format
46,dẹ́kun ìṣàtúnṣe,,2025-04-21 23:09:35,error,Invalid result format
47,Doha,,2025-04-21 23:09:37,error,Invalid result format
48,darubuka,,2025-04-21 23:09:38,error,Invalid result format
49,détà orísun,,2025-04-21 23:09:40,error,Invalid result format
50,déètì ìṣetán,,2025-04-21 23:09:42,error,Invalid result format
51,dúró gbọn-in,,2025-04-21 23:09:44,error,Invalid result format
52,déètì tí agbà kẹ́hìn,,2025-04-21 23:09:47,error,Invalid result format
53,dòmíníkà,,2025-04-21 23:09:50,error,Invalid result format
54,dúdú,,2025-04-21 23:09:52,error,Invalid result format
55,dẹ́nmárkì,,2025-04-21 23:09:55,error,Invalid result format
56,détà ìperí,,2025-04-21 23:09:57,error,Invalid result format
57,dí,,2025-04-21 23:09:59,error,Invalid result format
58,D,,2025-04-21 23:10:02,error,Invalid result format
59,durban,,2025-04-21 23:10:04,error,Invalid result format
60,de facto,,2025-04-21 23:10:06,error,Invalid result format
61,dájú tóyanjúpàtó pàtàkì,,2025-04-21 23:10:09,error,Invalid result format
62,Dysprosium,,2025-04-21 23:10:11,error,Invalid result format
63,di òkú,,2025-04-21 23:10:13,error,Invalid result format
64,Dolomite,,2025-04-21 23:10:15,error,Invalid result format
65,díámọ̀ndì,,2025-04-21 23:10:18,error,Invalid result format
66,dùnaládùn,,2025-04-21 23:10:20,error,Invalid result format
67,dígí ojúdígí ìríranawòìwojú,,2025-04-21 23:10:22,error,Invalid result format
68,dúró tì,,2025-04-21 23:10:24,error,Invalid result format
69,douala,,2025-04-21 23:10:26,error,Invalid result format
70,dìgbòlugi,,2025-04-21 23:10:28,error,Invalid result format
71,dpi,,2025-04-21 23:10:30,error,Invalid result format
72,dití,,2025-04-21 23:10:32,error,Invalid result format
73,dé,,2025-04-21 23:10:34,error,Invalid result format
74,Dìgbòlugi,,2025-04-21 23:10:36,error,Invalid result format
75,dushanbe,,2025-04-21 23:10:38,error,Invalid result format
76,Dẹ́nmárkì,,2025-04-21 23:10:40,error,Invalid result format
77,détà ìta,,2025-04-21 23:10:42,error,Invalid result format
78,dídun-ni,,2025-04-21 23:10:44,error,Invalid result format
79,dákú,,2025-04-21 23:10:46,error,Invalid result format
80,dì,,2025-04-21 23:10:48,error,Invalid result format
81,détà aṣàfihàn fáìlì,,2025-04-21 23:10:50,error,Invalid result format
82,dónọ́ọ̀tì,,2025-04-21 23:10:54,error,Invalid result format
83,dúró,,2025-04-21 23:10:56,error,Invalid result format
84,DNA,,2025-04-21 23:10:58,error,Invalid result format
85,détà àṣẹ òǹlò,,2025-04-21 23:11:00,error,Invalid result format
86,Dukia,,2025-04-21 23:11:02,error,Invalid result format
87,dùn,,2025-04-21 23:11:04,error,Invalid result format
88,Desmond Tutu,,2025-04-21 23:11:06,error,Invalid result format
89,deoksiribonúkléì kíkan,,2025-04-21 23:11:08,error,Invalid result format
90,dídà,,2025-04-21 23:11:10,error,Invalid result format
91,dàpọ̀,,2025-04-21 23:11:12,error,Invalid result format
92,dùrù,,2025-04-21 23:11:14,error,Invalid result format
93,dhaka,,2025-04-21 23:11:16,error,Invalid result format
94,dublin,,2025-04-21 23:11:18,error,Invalid result format
95,dípò,,2025-04-21 23:11:20,error,Invalid result format
96,dapadà sípò,,2025-04-21 23:11:23,error,Invalid result format
97,dì mú,,2025-04-21 23:11:25,error,Invalid result format
98,dédé,,2025-04-21 23:11:28,error,Invalid result format
99,dídárahíhàn,,2025-04-21 23:11:30,error,Invalid result format
100,dátà,,2025-04-21 23:11:32,error,Invalid result format
101,détà tí ó sọnù,,2025-04-21 23:11:34,error,Invalid result format
102,déètì ìparí,,2025-04-21 23:11:35,error,Invalid result format
103,doha,,2025-04-21 23:11:37,error,Invalid result format
104,delhi,,2025-04-21 23:11:39,error,Invalid result format
105,dúkíà,,2025-04-21 23:11:41,error,Invalid result format
106,dúró díẹ̀,,2025-04-21 23:11:43,error,Invalid result format
107,dà,,2025-04-21 23:11:46,error,Invalid result format
108,dókítà,,2025-04-21 23:11:48,error,Invalid result format
109,détà,,2025-04-21 23:11:50,error,Invalid result format
110,dákẹ́ díẹ̀,,2025-04-21 23:11:53,error,Invalid result format
111,dídọ̀tí,,2025-04-21 23:11:55,error,Invalid result format
112,Dọ́là,,2025-04-21 23:11:57,error,Invalid result format
113,dàmáskù,,2025-04-21 23:11:59,error,Invalid result format
114,dára,,2025-04-21 23:12:01,error,Invalid result format
115,dresden,,2025-04-21 23:12:03,error,Invalid result format
116,djìbútì,,2025-04-21 23:12:05,error,Invalid result format
117,Dubnium,,2025-04-21 23:12:07,error,Invalid result format
